epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9278,0.76698,3.7191,0.91581,0.00333,1,0.26038,0.22582,0.54211,3.16296,0.99357,0,0,0
2,28.2998,0.85115,3.56785,0.98075,0.00333,1,0.4975,0.30265,0.57066,3.1076,0.93973,1.802e-05,1.802e-05,1.802e-05
3,37.1884,1.08581,3.52885,1.18454,0.00333,1,0.78667,0.52841,0.57408,3.02918,0.90763,3.208e-05,3.208e-05,3.208e-05
4,46.6177,0.64158,3.22278,0.94474,0.00333,1,0.995,0.87656,0.56053,2.96139,0.88893,4.218e-05,4.218e-05,4.218e-05
5,55.3869,0.62201,3.41016,1.00814,0.00333,1,0.995,0.88281,0.5109,2.93525,0.86444,4.832e-05,4.832e-05,4.832e-05
6,63.7481,0.59077,3.12033,0.91127,0.00333,1,0.945,0.88008,0.49102,2.91369,0.85425,5.05e-05,5.05e-05,5.05e-05
7,71.9787,0.60996,3.34613,0.87578,0.00333,1,0.995,0.92007,0.50459,2.90499,0.85396,4.872e-05,4.872e-05,4.872e-05
8,80.0508,0.55436,2.9844,0.88719,0.00333,1,0.995,0.92007,0.49284,2.9079,0.85376,4.298e-05,4.298e-05,4.298e-05
9,88.1668,0.51018,3.2211,0.87695,0.00333,1,0.995,0.91174,0.49832,2.91292,0.85524,3.328e-05,3.328e-05,3.328e-05
10,96.4952,0.49741,2.97691,0.84083,0.00333,1,0.995,0.94506,0.48162,2.93027,0.84087,1.962e-05,1.962e-05,1.962e-05
